name,poi_id,osm_way_id,osm_relation_id,building,amenity,geometry,centroid
Interdisciplinary B Wing,10,28822061,,yes,,"POLYGON ((-111.9360722 33.4171047, -111.9356953 33.4171016, -111.9352053 33.4170975, -111.9352053 33.4173196, -111.9354285 33.4173196, -111.9355915 33.4173196, -111.9360722 33.4173196, -111.9360722 33.4171047))",POINT (-111.9356363680231 33.41721034768429)
Interdisciplinary A Wing,11,28822089,,yes,,"POLYGON ((-111.9356344 33.4179142, -111.9353598 33.4179142, -111.9353598 33.4173626, -111.9354285 33.4173626, -111.9354285 33.4173196, -111.9355915 33.4173196, -111.9355915 33.4173697, -111.9356344 33.4173697, -111.9356344 33.4179142))",POINT (-111.9354974485366 33.41762575029788)
Moeur Building,12,28822110,,yes,,"POLYGON ((-111.935881 33.417797, -111.9361127 33.417797, -111.9361127 33.417754, -111.9362415 33.417754, -111.9362415 33.417797, -111.936456 33.417797, -111.936456 33.4181337, -111.9363359 33.4181337, -111.9363359 33.4180764, -111.9360011 33.4180764, -111.9360011 33.4181337, -111.935881 33.4181337, -111.935881 33.417797))",POINT (-111.9361687646759 33.41794461461026)
Education Lecture Hall,13,28822160,,yes,,"POLYGON ((-111.9377017 33.4178004, -111.9379506 33.4178004, -111.9379506 33.4180153, -111.9378905 33.4180153, -111.9378905 33.4180726, -111.9377532 33.4180726, -111.9377532 33.4180153, -111.9377017 33.4180153, -111.9377017 33.4178004))",POINT (-111.9378255986374 33.41792530126661)
Payne Hall,14,28822195,,yes,,"POLYGON ((-111.9367837 33.4190167, -111.9367817 33.4187533, -111.9371338 33.4187546, -111.9372553 33.4187517, -111.9373012 33.4187506, -111.9377276 33.4187484, -111.9377296 33.4190118, -111.9367837 33.4190167))",POINT (-111.9372562507121 33.41888297256338)
Music Building,15,28822215,,yes,,"POLYGON ((-111.9385088 33.4177674, -111.9395348 33.417769, -111.9395432 33.4177692, -111.9395446 33.4178117, -111.9395427 33.4179745, -111.9395419 33.4183216, -111.9393926 33.4183214, -111.9390883 33.4183208, -111.9390888 33.4181414, -111.9389661 33.4181412, -111.9389406 33.4181975, -111.9388633 33.4182549, -111.9387929 33.4182716, -111.9387678 33.4182775, -111.9387301 33.4182768, -111.9387319 33.4183587, -111.9386227 33.4183597, -111.9384325 33.418199, -111.9384324 33.4181104, -111.938521 33.4181101, -111.9385265 33.4180901, -111.9385419 33.4180244, -111.9385898 33.4179589, -111.9386624 33.417917, -111.9387224 33.4178986, -111.938818 33.4179028, -111.9388867 33.4179305, -111.9389294 33.4179612, -111.9389735 33.4180185, -111.9390288 33.4180186, -111.9390819 33.4180186, -111.9390823 33.41786, -111.9385086 33.417859, -111.9385088 33.4177674))",POINT (-111.9390443630037 33.4180460779033)
Nelson Fine Arts Center,16,28822268,,yes,,"POLYGON ((-111.937812 33.4188989, -111.937812 33.418376, -111.9378721 33.4183545, -111.9379494 33.4183545, -111.9380438 33.4183616, -111.9381382 33.4183903, -111.9382326 33.4184333, -111.9383184 33.4184834, -111.9383871 33.4185336, -111.9384472 33.4186052, -111.9384729 33.418684, -111.9384815 33.4187413, -111.9387562 33.4187413, -111.9387562 33.4184619, -111.9391338 33.4184619, -111.9391338 33.4185766, -111.9390308 33.4185766, -111.9390308 33.4187485, -111.9391853 33.4187485, -111.9391853 33.4188918, -111.9389278 33.4188918, -111.9389278 33.4189634, -111.9387218 33.4189634, -111.9387218 33.4188989, -111.9383074 33.4188952, -111.937812 33.4188989))",POINT (-111.9384161263849 33.41868554965327)
Ceramics Research Center,17,28822286,,yes,,"POLYGON ((-111.9396059 33.4195172, -111.9396059 33.4193166, -111.9391939 33.4193166, -111.9391939 33.4195172, -111.9396059 33.4195172))",POINT (-111.9393999 33.4194169)
10th St. Parking Structure,18,28822327,,parking,,"POLYGON ((-111.9376206 33.4197408, -111.937624 33.420665, -111.9379458 33.4206641, -111.9379425 33.41974, -111.9376206 33.4197408))",POINT (-111.9377832220037 33.42020245116657)
COOR Building Geography/ Urban Planning,19,28822341,,yes,,"POLYGON ((-111.9378951 33.419139, -111.9373027 33.4191359, -111.9372996 33.4192333, -111.9372117 33.4192341, -111.9372143 33.4191371, -111.9368114 33.4191332, -111.9368277 33.4193611, -111.9367008 33.41936, -111.9366979 33.4195809, -111.9370615 33.4195843, -111.9370618 33.4195609, -111.9371252 33.4195615, -111.9371249 33.4195811, -111.93762 33.4195858, -111.9376198 33.419601, -111.9376976 33.4196017, -111.9376971 33.4196416, -111.9377379 33.419642, -111.9377387 33.4195873, -111.9379292 33.4195892, -111.9379321 33.4193715, -111.9378665 33.4193709, -111.9378951 33.419139))",POINT (-111.9373359753222 33.41937244603641)
Stauffer Comm.,20,28822362,,yes,,"POLYGON ((-111.9367151 33.4197079, -111.9370387 33.4197046, -111.9370379 33.4196501, -111.9375057 33.4196452, -111.9375115 33.4200384, -111.9370399 33.4200433, -111.9370402 33.4200678, -111.9367205 33.4200711, -111.9367151 33.4197079))",POINT (-111.9371206939492 33.41986117524664)
Neeb Hall,21,28822368,,yes,,"POLYGON ((-111.9368244 33.4201871, -111.9369771 33.4201864, -111.9370356 33.4202945, -111.9370399 33.4204194, -111.9370134 33.42043, -111.9370052 33.4204482, -111.9369371 33.4204528, -111.9369314 33.4204337, -111.9368785 33.4204352, -111.9368698 33.4204524, -111.9367991 33.4204534, -111.936792 33.4204342, -111.936766 33.4204272, -111.9367669 33.4203073, -111.9368244 33.4201871))",POINT (-111.9369018917017 33.42032503063584)
Art Building,22,28822379,,yes,,"POLYGON ((-111.9371222 33.4203442, -111.937517 33.4203442, -111.937517 33.4206737, -111.9371222 33.4206737, -111.9371222 33.4203442))",POINT (-111.9373196 33.42050895)
Art Warehouse,23,28822381,,yes,,"POLYGON ((-111.9375916 33.4207159, -111.9379864 33.4207159, -111.9379864 33.4211601, -111.9375916 33.4211601, -111.9375916 33.4210598, -111.9378577 33.4210598, -111.9378577 33.4208449, -111.9375916 33.4208449, -111.9375916 33.4207159))",POINT (-111.9378201362632 33.4209310566375)
Tower Center,24,28822436,,yes,,"POLYGON ((-111.9376849 33.4213982, -111.9374103 33.4213982, -111.9374103 33.4217994, -111.9375991 33.4217994, -111.9375991 33.4214842, -111.9376849 33.4214842, -111.9376849 33.4213982))",POINT (-111.9375168877276 33.42158481029963)
Tower Center,25,28822439,,yes,,"POLYGON ((-111.937664 33.4215205, -111.9379558 33.4215205, -111.9379558 33.4216637, -111.9378872 33.4216637, -111.9378872 33.4217855, -111.9377413 33.4217855, -111.9377413 33.4215778, -111.937664 33.4215778, -111.937664 33.4215205))",POINT (-111.9378248188351 33.42163300173983)
College of Design North,26,28822451,,yes,,"POLYGON ((-111.9367504 33.4213323, -111.9373514 33.4213323, -111.9373514 33.4217622, -111.9367504 33.4217622, -111.9367504 33.4213323))",POINT (-111.9370509 33.42154725000001)
College of Design South,27,28822457,,yes,,"POLYGON ((-111.9367354 33.4211448, -111.9367354 33.4208941, -111.937362 33.4208941, -111.937362 33.4211448, -111.9367354 33.4211448))",POINT (-111.9370487 33.42101945)
,28,28822538,,yes,,"POLYGON ((-111.9417329 33.4124705, -111.9420807 33.4127464, -111.9420482 33.4127765, -111.9420812 33.4128045, -111.9420545 33.4128267, -111.9422783 33.4130122, -111.9420799 33.4131782, -111.9418205 33.4129641, -111.9418597 33.4129318, -111.9418299 33.4129109, -111.9418188 33.4129032, -111.9418445 33.4128789, -111.9418098 33.4128494, -111.9415475 33.4126266, -111.9417329 33.4124705))",POINT (-111.9419177023858 33.41282199640844)
,29,28822558,,hospital,,"POLYGON ((-111.9408683 33.4128269, -111.9406262 33.4128267, -111.9404386 33.4128254, -111.9404421 33.4127781, -111.9403805 33.4127756, -111.9403785 33.4127048, -111.940278 33.4127026, -111.9402787 33.4125626, -111.9402234 33.4125599, -111.9402332 33.4124654, -111.9403754 33.4124626, -111.9403771 33.4124414, -111.9402569 33.4124414, -111.9402586 33.4122024, -111.9402236 33.4121953, -111.9401968 33.4121657, -111.940195 33.4121213, -111.9402223 33.4120917, -111.9402598 33.4120834, -111.9402598 33.4117177, -111.9402683 33.4117165, -111.9402659 33.4116598, -111.9404332 33.4116599, -111.9404308 33.4117154, -111.9404159 33.4117161, -111.9404139 33.4117673, -111.9406328 33.4117665, -111.9406326 33.4117509, -111.9407282 33.4117513, -111.9407271 33.4119234, -111.940839 33.4119255, -111.9408376 33.4119556, -111.940854 33.4119567, -111.9408498 33.4121119, -111.9407957 33.4121112, -111.9407857 33.4124014, -111.9408163 33.4124024, -111.9408195 33.412342, -111.940921 33.4123412, -111.9409278 33.4122201, -111.9414903 33.4122197, -111.9414883 33.412398, -111.941719 33.4124018, -111.9417224 33.412327, -111.9420216 33.4123303, -111.942025 33.4124406, -111.9414157 33.4124364, -111.9414182 33.412564, -111.9408059 33.412572, -111.9408059 33.4126052, -111.9408058 33.4127254, -111.9408679 33.4127259, -111.9408684 33.4127761, -111.9408683 33.4128269))",POINT (-111.9407547233927 33.4123098514337)
Graduate Tempe,30,28822616,,yes,,"POLYGON ((-111.9366464 33.4142282, -111.9366456 33.4143904, -111.9364583 33.4143909, -111.9364587 33.4143053, -111.9361595 33.4143093, -111.9361636 33.4144543, -111.9358121 33.4144581, -111.9358108 33.4142699, -111.935863 33.4142688, -111.93586 33.4141249, -111.9364445 33.4141199, -111.9364455 33.4142311, -111.9366464 33.4142282))",POINT (-111.9361695261562 33.41427578900286)
Memorial Union,31,28822637,,community_centre,,"POLYGON ((-111.9339228 33.4172055, -111.9347888 33.4172055, -111.9347888 33.4175422, -111.9347208 33.4175422, -111.9347208 33.4175923, -111.9347888 33.4175923, -111.9347888 33.4178431, -111.9346608 33.4178431, -111.9346608 33.4180222, -111.9347978 33.4180222, -111.9347978 33.4182085, -111.9346518 33.4182085, -111.9346518 33.4181655, -111.9344548 33.4181655, -111.9344548 33.4182085, -111.9342308 33.4182085, -111.9342308 33.4181726, -111.9339738 33.4181726, -111.9339738 33.4176067, -111.9339228 33.4176067, -111.9339228 33.4172055))",POINT (-111.9343609382369 33.41768349885134)
Hayden Library,32,28822655,,yes,,"POLYGON ((-111.9342793 33.4185763, -111.9348754 33.418575, -111.9348781 33.4194702, -111.9342821 33.4194714, -111.9342793 33.4185763))",POINT (-111.9345787304986 33.41902321243499)
Hayden Library Entrance,33,28822657,,library,,"POLYGON ((-111.9351384 33.4187355, -111.9354302 33.4187355, -111.9354302 33.4189791, -111.9353279 33.4189803, -111.9353216 33.4189945, -111.9353091 33.4190082, -111.9352956 33.4190153, -111.9352812 33.4190156, -111.9352666 33.4190148, -111.9352443 33.4190031, -111.9352349 33.4189938, -111.9352303 33.4189795, -111.9351384 33.4189791, -111.9351384 33.4187355))",POINT (-111.9352841606869 33.41886245559178)
Danforth Chapel,34,28822660,,yes,,"POLYGON ((-111.9353821 33.4185737, -111.9353821 33.4184734, -111.9352448 33.4184734, -111.9352448 33.4185737, -111.9353821 33.4185737))",POINT (-111.93531345 33.41852355)
Wilson Hall,35,28822669,,yes,,"POLYGON ((-111.9363981 33.41845, -111.9355039 33.4184584, -111.9355039 33.4185818, -111.9359599 33.4185767, -111.9359568 33.4186204, -111.9364159 33.4186127, -111.9363981 33.41845))",POINT (-111.9359876158318 33.41852749885645)
West Hall,36,28822716,,yes,,"POLYGON ((-111.9360706 33.4194131, -111.9357703 33.4194131, -111.9356415 33.4194131, -111.9356415 33.419363, -111.9357496 33.419363, -111.9357874 33.419363, -111.9357883 33.4191785, -111.9357466 33.4191801, -111.9357411 33.4190404, -111.9357892 33.4190404, -111.9357874 33.4188758, -111.9357422 33.4188758, -111.9356844 33.4188758, -111.9356844 33.4188598, -111.9356844 33.4188113, -111.9360706 33.4188113, -111.9360697 33.4188832, -111.9359901 33.4188834, -111.935987 33.4189019, -111.9359115 33.418902, -111.9359106 33.4190438, -111.9359783 33.4190423, -111.9359819 33.4191736, -111.9359106 33.4191728, -111.9359124 33.4193159, -111.9359925 33.419314, -111.935992 33.4193344, -111.9360678 33.4193338, -111.9360706 33.4194131))",POINT (-111.9358670949681 33.41911558119676)
Dixie Gammage Hall,37,28822719,,yes,,"POLYGON ((-111.9360706 33.4188113, -111.9363796 33.4188113, -111.9363796 33.4194131, -111.9360706 33.4194131, -111.9360678 33.4193338, -111.936272 33.4193327, -111.9362711 33.4191441, -111.9361681 33.4191441, -111.9361681 33.4190796, -111.9362711 33.4190796, -111.9362711 33.418879, -111.9360697 33.4188832, -111.9360706 33.4188113))",POINT (-111.9362725995384 33.41911670973946)
Matthews Hall,38,28822867,,yes,,"POLYGON ((-111.9358648 33.4200648, -111.9360193 33.4200648, -111.9360193 33.4200218, -111.9362424 33.4200218, -111.9362424 33.4200648, -111.9364141 33.4200648, -111.9364141 33.420165, -111.9362424 33.420165, -111.9362424 33.4202224, -111.9360193 33.4202224, -111.9360193 33.420165, -111.9358648 33.420165, -111.9358648 33.4200648))",POINT (-111.9361369624522 33.42011906104774)
A J Matthews Center,39,28822889,,yes,,"POLYGON ((-111.9357156 33.4197326, -111.9354663 33.4197312, -111.9354666 33.4196889, -111.9352783 33.4196879, -111.935275 33.4201042, -111.9352743 33.4201898, -111.935712 33.4201922, -111.9357156 33.4197326))",POINT (-111.9354902970984 33.4199516108573)
Lyceum Theatre,40,28822944,,yes,,"POLYGON ((-111.9362716 33.4203413, -111.9364862 33.4203413, -111.9364862 33.4207568, -111.9362974 33.4207568, -111.9362974 33.4205132, -111.9362716 33.4205132, -111.9362716 33.4203413))",POINT (-111.9363860583314 33.42054253243025)
Center for Family Studies,41,28822952,,yes,,"POLYGON ((-111.9360852 33.4208722, -111.9363856 33.4208722, -111.9363856 33.4210441, -111.9364457 33.4210441, -111.9364457 33.4211731, -111.9361882 33.4211731, -111.9361882 33.4211372, -111.9363255 33.4211372, -111.9363255 33.4210441, -111.9360852 33.4210441, -111.9360852 33.4208722))",POINT (-111.9362691807283 33.42100399026641)
Fulton Center,42,28822961,,yes,,"POLYGON ((-111.9348349 33.4224902, -111.9340538 33.4224902, -111.9340538 33.4220748, -111.9348349 33.4220748, -111.9348349 33.4224902))",POINT (-111.93444435 33.42228249999999)
Schwada Classroom Building,43,28866501,,yes,,"POLYGON ((-111.9308943 33.419503, -111.9305095 33.4195067, -111.930509 33.419468, -111.930508 33.4193975, -111.9305386 33.4193972, -111.9305376 33.4193157, -111.9304769 33.4193162, -111.9304763 33.4192666, -111.9302857 33.4192682, -111.9302834 33.4190784, -111.9302798 33.4187788, -111.9303399 33.4187071, -111.9305097 33.4187054, -111.9305082 33.418604, -111.9308798 33.4186003, -111.9308844 33.418918, -111.9308081 33.4189188, -111.9308089 33.4189711, -111.930811 33.41912, -111.930812 33.4191941, -111.93089 33.4191934, -111.9308943 33.419503))",POINT (-111.9306064890547 33.41903706138957)
Interdisciplinary Sci. & Tech. 1,44,28866562,,yes,,"POLYGON ((-111.9316639 33.4192582, -111.9316639 33.4185489, -111.9315695 33.4185489, -111.9315695 33.4184701, -111.9314064 33.4184701, -111.9314064 33.4191005, -111.9313463 33.4191005, -111.9312691 33.4187137, -111.9311318 33.4188856, -111.9312004 33.4190576, -111.9311575 33.4191507, -111.9312176 33.4192796, -111.9312605 33.4192653, -111.9312519 33.4192438, -111.9313292 33.4192152, -111.9313378 33.4192582, -111.9316639 33.4192582))",POINT (-111.9314523963308 33.41892513418694)
Parking Lot 27,45,28866684,,parking,,"POLYGON ((-111.9315037 33.4182354, -111.9314952 33.417519, -111.9312892 33.417519, -111.9312892 33.4182354, -111.9315037 33.4182354))",POINT (-111.9313943393183 33.41787961355529)
Psychology North,46,28866724,,yes,,"POLYGON ((-111.9299159 33.4207751, -111.9299266 33.4205073, -111.9299046 33.4205073, -111.9292057 33.4205072, -111.9292056 33.4207818, -111.929733 33.4207768, -111.9299159 33.4207751))",POINT (-111.9295619473745 33.42064251238559)
Interdisciplinary Sci. & Tech. 2,47,28866736,,yes,,"POLYGON ((-111.9300719 33.4211857, -111.9300725 33.4210728, -111.9300224 33.4210726, -111.9300227 33.4209997, -111.9300704 33.4209999, -111.9300709 33.4208939, -111.9297381 33.4208928, -111.9291229 33.4208907, -111.9291223 33.421004, -111.9291785 33.4210042, -111.9291782 33.4210631, -111.9291174 33.4210628, -111.9291168 33.4211824, -111.9300719 33.4211857))",POINT (-111.9295953720814 33.42103853071611)
Physical Education West,48,28878211,,yes,,"POLYGON ((-111.9329349 33.4174071, -111.9331409 33.4174071, -111.9331409 33.417493, -111.9332783 33.417493, -111.9332783 33.4175862, -111.9333212 33.4175862, -111.9333212 33.4180375, -111.9334156 33.4180375, -111.9334156 33.4182094, -111.9328148 33.4182094, -111.9328062 33.4175074, -111.9329349 33.4175074, -111.9329349 33.4174071))",POINT (-111.9330755547083 33.41784825796991)
Computing Commons,49,28878239,,yes,,"POLYGON ((-111.9321635 33.4175167, -111.9322957 33.4175167, -111.9325718 33.4175167, -111.9326184 33.4175167, -111.9326184 33.4181687, -111.9321635 33.4181687, -111.9321635 33.4175167))",POINT (-111.93239095 33.4178427)
ASU Bookstore,50,28878276,,yes,,"POLYGON ((-111.9321292 33.4181534, -111.9321292 33.4174012, -111.9318288 33.4174012, -111.9318288 33.4175015, -111.9315713 33.4175015, -111.9315713 33.4181534, -111.9321292 33.4181534))",POINT (-111.9318601001915 33.41779867596485)
Physical Education East,51,28878299,,yes,,"POLYGON ((-111.9303596 33.417484, -111.9312007 33.417484, -111.9312007 33.4181932, -111.9303596 33.4181932, -111.9303596 33.417484))",POINT (-111.93078015 33.4178386)
Ross-Blakley Hall,52,28878390,,library,,"POLYGON ((-111.9300935 33.4168536, -111.9295528 33.4168536, -111.9293725 33.4168249, -111.929321 33.4168965, -111.9292867 33.4169968, -111.929261 33.4171473, -111.9292695 33.4172834, -111.929321 33.4172333, -111.9295785 33.4172333, -111.9295785 33.4172691, -111.92963 33.4172691, -111.9297244 33.4172906, -111.9298189 33.4173192, -111.9298618 33.4173407, -111.9298618 33.4174195, -111.9300935 33.4174195, -111.9300935 33.4168536))",POINT (-111.92972232077 33.41708848341123)
Armstrong Hall,53,28878404,,yes,,"POLYGON ((-111.9290636 33.4181001, -111.929158 33.4178494, -111.9290721 33.4174912, -111.9292438 33.4174553, -111.9292867 33.4175986, -111.929321 33.4175556, -111.9293725 33.4175198, -111.9294326 33.4174912, -111.9294755 33.4174912, -111.9295442 33.4175055, -111.9295871 33.4175556, -111.9296129 33.4175771, -111.9296472 33.4174553, -111.9298532 33.4174768, -111.9297588 33.4178207, -111.9298532 33.4180786, -111.929733 33.4181288, -111.9297073 33.4180571, -111.9296129 33.4180715, -111.9295957 33.4181216, -111.9295614 33.4181503, -111.9295099 33.4181789, -111.9294498 33.4181932, -111.9294069 33.4181789, -111.9293554 33.4181431, -111.9293296 33.4181073, -111.9293296 33.4180786, -111.9292524 33.4180715, -111.9292095 33.4180571, -111.9291751 33.4181288, -111.9290636 33.4181001))",POINT (-111.9294615461955 33.41780754392725)
Rural Road Parking Structure,54,28878477,,parking,,"POLYGON ((-111.9278267 33.4183713, -111.927828 33.4169642, -111.927191 33.4169621, -111.9268074 33.4169608, -111.9268088 33.4170101, -111.9266223 33.417009, -111.9266248 33.4178403, -111.9266251 33.4179311, -111.9266264 33.4183679, -111.9271923 33.4183695, -111.9273595 33.41837, -111.9277208 33.418371, -111.9278267 33.4183713))",POINT (-111.9272285344359 33.41766904379876)
Tempe High School,55,28902831,,school,,"POLYGON ((-111.9430094 33.4127313, -111.9434463 33.4127371, -111.9434528 33.411805, -111.9434831 33.407462, -111.9430864 33.4074647, -111.9411581 33.4074903, -111.9400223 33.4074871, -111.939963 33.4075247, -111.9399464 33.407596, -111.9399969 33.4102896, -111.9400268 33.4108924, -111.940351 33.4109711, -111.9406937 33.4110844, -111.9410892 33.4112283, -111.9415997 33.4114875, -111.9420275 33.4117716, -111.9423701 33.4120518, -111.9426529 33.4123033, -111.9428392 33.4125394, -111.9430094 33.4127313))",POINT (-111.9418708926343 33.40963128864373)
Languages and Literature,56,28930749,,yes,,"POLYGON ((-111.934693 33.4214412, -111.9346947 33.4209685, -111.9347708 33.4209599, -111.9347779 33.4208149, -111.9346859 33.4208061, -111.9346841 33.4204161, -111.9345125 33.4204191, -111.9345142 33.4204516, -111.9344788 33.4204501, -111.9344788 33.4208075, -111.9343054 33.4208179, -111.9343071 33.4208431, -111.934316 33.4209715, -111.9344718 33.420973, -111.9344771 33.4214161, -111.9345178 33.4214161, -111.934516 33.4214441, -111.934693 33.4214412))",POINT (-111.9345719631244 33.42093010843197)
Central Plant,57,29215860,,industrial,,"POLYGON ((-111.9339569 33.4189178, -111.9334135 33.4189178, -111.9331672 33.4189178, -111.9331672 33.4192689, -111.9339569 33.4192689, -111.9339569 33.4189178))",POINT (-111.93356205 33.41909335)
Life Sciences Tower,58,29215974,,yes,,"POLYGON ((-111.9340349 33.4193825, -111.9340421 33.4194056, -111.934073 33.4194048, -111.9340925 33.4194332, -111.9341099 33.4194697, -111.9341323 33.4194629, -111.9341386 33.4195302, -111.9341349 33.4195836, -111.9341155 33.4195776, -111.9341008 33.4196096, -111.9340811 33.4196344, -111.9340307 33.4196356, -111.9340297 33.4196645, -111.9335586 33.4196664, -111.9335584 33.4196335, -111.9335321 33.4196336, -111.9335309 33.4194271, -111.9335544 33.419427, -111.9335541 33.4193774, -111.9340349 33.4193825))",POINT (-111.9338193951831 33.41952266516335)
Life Sciences C-Wing,59,29215993,,yes,,"POLYGON ((-111.9339476 33.4198538, -111.9335528 33.4198538, -111.9335528 33.4201762, -111.9339476 33.4201762, -111.9339476 33.4198538))",POINT (-111.9337502 33.420015)
Engineering Center G-Wing,60,29216259,,yes,,"POLYGON ((-111.9326238 33.420194, -111.9316137 33.4202003, -111.9316137 33.4198492, -111.931751 33.4198492, -111.931751 33.4200068, -111.9323432 33.4200068, -111.9323432 33.4198922, -111.932472 33.4198922, -111.9324682 33.4199848, -111.9326237 33.4199824, -111.9326238 33.420194))",POINT (-111.9321003692859 33.42007454726523)
Engineering Research Center,61,29216331,,yes,,"POLYGON ((-111.9312073 33.4194249, -111.9314562 33.4194249, -111.9314562 33.4194894, -111.9316107 33.4194894, -111.9316107 33.4197688, -111.9314562 33.4197688, -111.9314562 33.420084, -111.9314219 33.420084, -111.9314219 33.42017, -111.9312073 33.42017, -111.9312073 33.4194249))",POINT (-111.9313689291706 33.41976093998081)
Engineering Center A-Wing,62,29216420,,yes,,"POLYGON ((-111.9317966 33.4184889, -111.9325777 33.4184889, -111.9325777 33.4186824, -111.9320284 33.4186824, -111.9320284 33.4188686, -111.9317966 33.4188686, -111.9317966 33.4184889))",POINT (-111.9321261414156 33.41862782178136)
Engineering Annex,63,29216442,,yes,,"POLYGON ((-111.9322 33.4188686, -111.9325433 33.4188686, -111.9325433 33.4187182, -111.9322 33.4187182, -111.9322 33.4188686))",POINT (-111.93237165 33.4187934)
